update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,kills,self_kills,deaths,action_up,action_right,action_down,action_left,action_wait,action_bomb
329,2847867,2847867,8013,1013,1024,0.4333105468750005,15.436115264892578,0.5241085290908813,-0.001156076235929504,3.608967214822769,0.34452245384454727,0.0007532524014095543,0.025146484375,0.9116508309596308,0.05,10,126,0,1,1,0.2216796875,0.2060546875,0.2109375,0.2099609375,0.0185546875,0.1328125
330,2848891,2848891,8016,1016,1024,0.5291601562500003,15.749897003173828,0.3679776191711426,-0.0034988054540008307,3.371681571006775,0.3758138921111822,0.0009081561784114456,0.04833984375,0.9417574502254334,0.05,18,164,0,0,1,0.1953125,0.240234375,0.1943359375,0.2255859375,0.0224609375,0.1220703125
331,2849915,2849915,8019,1019,1024,0.3646582031250005,13.372289657592773,-0.4376720190048218,-0.002966990985441953,4.777824237942696,0.2437956454232335,0.0014917252601662767,0.02197265625,0.8650563636565833,0.05,18,164,1,1,1,0.1875,0.2333984375,0.2099609375,0.22265625,0.01171875,0.134765625
332,2850939,2850939,8022,1022,1024,0.4478125000000005,14.61325740814209,-0.3831785321235657,-0.00154889261466451,5.213144227862358,0.31176906265318394,0.0003932457129849354,0.016357421875,0.8940710595065312,0.05,16,167,0,2,2,0.2265625,0.2177734375,0.21875,0.1865234375,0.0185546875,0.1318359375
333,2851870,2851870,8025,1025,931,0.5898925886143935,17.88811683654785,1.0153802633285522,0.005106020777020603,3.9027030915021896,0.3856869675219059,0.006249749043490738,0.037521268997807056,0.9186471748695163,0.05,9,108,0,0,0,0.24597207303974222,0.19011815252416756,0.22878625134264233,0.19871106337271752,0.00966702470461869,0.1267454350161117
334,2852894,2852894,8028,1028,1024,0.37671875000000044,13.002873420715332,-0.7005088925361633,-0.0016845331992954016,6.082780092954636,0.25046266708523035,0.0007772741028020391,0.019775390625,0.8959746744890196,0.05,15,166,0,1,2,0.2021484375,0.2490234375,0.1923828125,0.21484375,0.0068359375,0.134765625
335,2853918,2853918,8031,1031,1024,0.3992285156250005,13.294292449951172,0.07281550765037537,-0.0016346954507753253,5.117855578660965,0.23306889086961746,0.0006096219158280292,0.0068359375,0.8891706639869733,0.05,13,130,0,0,0,0.2041015625,0.232421875,0.1943359375,0.2119140625,0.021484375,0.1357421875
336,2854942,2854942,8036,1036,1024,0.36050781250000047,12.242569923400879,-0.40273094177246094,-0.001977422507479787,9.327374041080475,0.30960186943411827,-0.00025453352463955525,0.010498046875,0.8381490570270203,0.05,17,189,0,4,4,0.2138671875,0.203125,0.2294921875,0.1787109375,0.0458984375,0.12890625
337,2855966,2855966,8039,1039,1024,0.39117187500000056,15.059664726257324,1.1759617328643799,-0.0002715722657740116,5.275032624602318,0.24821414146572351,0.0006181694316182984,0.013916015625,0.8745463040999931,0.05,17,147,0,0,1,0.19921875,0.2373046875,0.201171875,0.2109375,0.017578125,0.1337890625
338,2856990,2856990,8041,1041,1024,0.4529394531250005,15.31456184387207,0.3638952374458313,-0.0014460571110248566,4.14721804857254,0.323066646233201,0.005204789319577685,0.0341796875,0.9139159898348795,0.05,11,115,0,0,0,0.21484375,0.2021484375,0.232421875,0.1953125,0.0283203125,0.126953125
339,2858014,2858014,8045,1045,1024,0.4624121093750005,14.97275447845459,-0.2933036983013153,-0.002513652783818543,7.242708146572113,0.3566758371889591,0.0023308425707000424,0.021240234375,0.8818812303093148,0.05,17,168,0,2,2,0.2265625,0.197265625,0.240234375,0.1953125,0.0146484375,0.1259765625
340,2859038,2859038,8049,1049,1024,0.5238378906250005,16.73843765258789,-0.1381499022245407,-0.0019912353600375354,5.8059870302677155,0.38972078636288643,0.0008656118716316996,0.014404296875,0.8712948292784388,0.05,13,163,1,2,2,0.2060546875,0.2138671875,0.2177734375,0.2138671875,0.0244140625,0.1240234375
341,2859228,2859228,8050,1050,190,0.5781578947368429,18.356325149536133,-0.5364654064178467,-0.00023475414571683118,3.221687376499176,0.4362664222717285,-0.0003435510954368226,0.0,0.8778705773817483,0.05,0,4,0,0,0,0.21052631578947367,0.22631578947368422,0.20526315789473684,0.22631578947368422,0.010526315789473684,0.12105263157894737
